{$\ln(\eta)$};{$\frac{1}{T}$ / $10^{-3} K^{-1}$}
-6.706899586652521;3.3881077418261903
-6.707291206003522;3.3881077418261903 
-6.901076218661065;3.287851389117212
-6.905690020497667;3.287851389117212
-6.963686658868305;3.255738238645613
-6.956274226007500;3.255738238645613
-7.037314370482293;3.2035880185808108
-7.036767872609142;3.2035880185808108
-7.106906379196385;3.163055511624229
-7.127452340968606;3.163055511624229
-7.170047291112953;3.123535842573794
-7.194072978768340;3.123535842573794
-7.238642972201396;3.0849915162733305
-7.247851347207124;3.0849915162733305
-7.345159734476123;3.0381285128360932
-7.332783338875074;3.0381285128360932
-7.384678942489661;2.992667963489451
-7.381568520075268;2.992667963489451
